City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,56.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
1,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
2,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Te Anau,NZ,44.65,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
5,Ushuaia,AR,51.42,broken clouds,-54.8,-68.3,Albatross Hotel
6,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
8,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
9,Mataura,NZ,51.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
11,Moyale,KE,87.42,scattered clouds,3.5167,39.0584,La Tahzan Guest House
12,Bambous Virieux,MU,82.65,few clouds,-20.3428,57.7575,Casa Tia Villa
13,Spruce Grove,CA,28.13,overcast clouds,53.5334,-113.9187,Travelodge by Wyndham Stony Plain
15,Vao,NC,80.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
16,Cayenne,GF,80.64,mist,4.9333,-52.3333,Hôtel Le Dronmi
17,Coihaique,CL,63.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
18,Rikitea,PF,78.93,light rain,-23.1203,-134.9692,People ThankYou
19,Andros Town,BS,76.96,light rain,24.7,-77.7667,Hanks place
20,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
22,Wittlich,DE,44.91,clear sky,49.9833,6.8833,"Hotel Vulcano Lindenhof, Eifel/Mosel"
23,Bengkulu,ID,77.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
25,Punta Arenas,CL,57.31,scattered clouds,-53.15,-70.9167,Hotel Hain
26,Tuatapere,NZ,51.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
27,Faya,SA,66.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
28,Lebu,CL,68.77,clear sky,-37.6167,-73.65,Hostal Las Lilas
29,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
30,Goundam,ML,84.74,clear sky,16.4145,-3.6708,
31,Albany,US,47.8,overcast clouds,42.6001,-73.9662,
32,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
33,Cape Town,ZA,77.88,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
35,Loudeac,FR,47.48,overcast clouds,48.1783,-2.7543,Le France Hotel Restaurant
36,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
37,Fallon,US,24.67,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
39,Jamestown,US,30.29,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Kaoma,ZM,74.91,light rain,-14.7833,24.8,KAOMA AIRPORT
41,Faanui,PF,79.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Bauchi,NG,90.99,broken clouds,10.5,10.0,
43,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
44,Harwich,GB,49.53,overcast clouds,51.9419,1.2844,Premier Inn Harwich hotel
46,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
47,Makakilo City,US,71.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
49,Guerrero Negro,MX,60.75,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
51,Saurimo,AO,79.88,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
54,Kati,ML,90.81,clear sky,12.7441,-8.0726,Lingot d’or
55,Berlevag,NO,25.11,light snow,70.8578,29.0864,Kvitbrakka
56,Port Hardy,CA,38.75,fog,50.6996,-127.4199,Airport Inn-Port Hardy
58,Cardoso,BR,81.52,broken clouds,-20.0819,-49.9142,EmilioTur Pescaria
59,Santa Isabel Do Rio Negro,BR,86.25,overcast clouds,-0.4139,-65.0192,Hotel GSA
60,Busselton,AU,60.08,clear sky,-33.65,115.3333,Observatory Guest House
61,Bethel,US,54.34,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
62,Port Lavaca,US,56.98,fog,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
63,Portland,US,46.81,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
65,Chuy,UY,75.52,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
66,Cabo San Lucas,MX,65.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
67,Hobart,AU,57.06,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
68,Kapaa,US,67.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Hithadhoo,MV,81.93,broken clouds,-0.6,73.0833,Scoop Guest House
70,Bodden Town,KY,82.0,broken clouds,19.2833,-81.25,Will T Place
72,Alexandria,EG,64.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
73,Kahului,US,71.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
74,Magadi,IN,75.36,broken clouds,12.9667,77.2333,Sri Balaji Delux Lodge - Magadi
75,Victoria,HK,66.96,broken clouds,22.2855,114.1577,Mini Hotel Central
76,Shetpe,KZ,41.67,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
77,East London,ZA,81.54,broken clouds,-33.0153,27.9116,Tu Casa
78,Kavieng,PG,80.78,light rain,-2.5744,150.7967,Nusa Island Retreat
79,Mar Del Plata,AR,64.42,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Burnie,AU,60.49,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
81,Santa Maria Del Oro,MX,50.29,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
82,Saint-Pierre,RE,82.04,broken clouds,-21.3393,55.4781,Lindsey Hôtel
83,Carlisle,US,51.22,overcast clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
85,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Viseu,PT,57.88,overcast clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
87,Malanje,AO,79.5,scattered clouds,-9.5402,16.341,Hotel Ginga
88,Lompoc,US,64.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
89,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
91,Gravdal,NO,28.29,scattered clouds,68.1214,13.5031,Skreda Rorbusuiter
93,Vangaindrano,MG,77.49,few clouds,-23.35,47.6,Hotel Fanilo
94,Ucluelet,CA,32.95,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
95,Porosozero,RU,21.51,snow,62.7191,32.727,Porosozero
