City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,New Norfolk,AU,2022-02-12 14:43:17,-42.7826,147.0587,56.7,54,90,2.62,overcast clouds
1,Port Blair,IN,2022-02-12 14:43:17,11.6667,92.75,80.64,69,40,16.11,haze
2,Bluff,NZ,2022-02-12 14:43:18,-46.6,168.3333,51.8,65,81,15.1,broken clouds
3,Te Anau,NZ,2022-02-12 14:43:18,-45.4167,167.7167,44.65,83,76,3.2,broken clouds
4,Tuktoyaktuk,CA,2022-02-12 14:43:18,69.4541,-133.0374,-25.6,68,0,8.05,clear sky
5,Ushuaia,AR,2022-02-12 14:43:19,-54.8,-68.3,51.42,57,75,40.29,broken clouds
6,Vaini,TO,2022-02-12 14:43:19,-21.2,-175.2,78.96,94,20,5.75,few clouds
7,Pisco,PE,2022-02-12 14:43:19,-13.7,-76.2167,72.01,68,0,5.75,clear sky
8,Isangel,VU,2022-02-12 14:43:19,-19.55,169.2667,79.3,89,76,4.07,broken clouds
9,Mataura,NZ,2022-02-12 14:43:20,-46.1927,168.8643,51.48,90,100,3.27,overcast clouds
10,Noumea,NC,2022-02-12 14:40:27,-22.2763,166.4572,81.0,99,97,3.15,overcast clouds
11,Moyale,KE,2022-02-12 14:43:20,3.5167,39.0584,87.42,14,40,10.2,scattered clouds
12,Bambous Virieux,MU,2022-02-12 14:43:20,-20.3428,57.7575,82.65,74,20,6.91,few clouds
13,Spruce Grove,CA,2022-02-12 14:39:51,53.5334,-113.9187,28.13,66,100,2.3,overcast clouds
14,Qaanaaq,GL,2022-02-12 14:43:21,77.484,-69.3632,-21.21,48,0,8.55,clear sky
15,Vao,NC,2022-02-12 14:43:21,-22.6667,167.4833,80.15,82,100,5.12,overcast clouds
16,Cayenne,GF,2022-02-12 14:43:21,4.9333,-52.3333,80.64,90,75,10.36,mist
17,Coihaique,CL,2022-02-12 14:42:02,-45.5752,-72.0662,63.21,55,0,6.91,clear sky
18,Rikitea,PF,2022-02-12 14:43:22,-23.1203,-134.9692,78.93,70,63,13.98,light rain
19,Andros Town,BS,2022-02-12 14:43:22,24.7,-77.7667,76.96,73,2,10.54,light rain
20,Bathsheba,BB,2022-02-12 14:43:22,13.2167,-59.5167,79.41,69,75,23.02,broken clouds
21,Borogontsy,RU,2022-02-12 14:43:22,62.6683,131.1683,-25.49,99,100,0.4,overcast clouds
22,Wittlich,DE,2022-02-12 14:43:23,49.9833,6.8833,44.91,48,0,3.44,clear sky
23,Bengkulu,ID,2022-02-12 14:43:23,-3.8004,102.2655,77.61,85,100,5.08,overcast clouds
24,Avarua,CK,2022-02-12 14:43:23,-21.2078,-159.775,73.45,94,90,2.3,overcast clouds
25,Punta Arenas,CL,2022-02-12 14:43:24,-53.15,-70.9167,57.31,47,40,26.46,scattered clouds
26,Tuatapere,NZ,2022-02-12 14:43:24,-46.1333,167.6833,51.82,76,95,9.04,overcast clouds
27,Faya,SA,2022-02-12 14:43:24,18.3851,42.4509,66.31,71,29,6.93,scattered clouds
28,Lebu,CL,2022-02-12 14:43:25,-37.6167,-73.65,68.77,52,3,12.55,clear sky
29,Sitka,US,2022-02-12 14:43:25,57.0531,-135.33,42.69,87,100,11.5,moderate rain
30,Goundam,ML,2022-02-12 14:43:25,16.4145,-3.6708,84.74,8,2,8.46,clear sky
31,Albany,US,2022-02-12 14:42:15,42.6001,-73.9662,47.8,68,100,1.01,overcast clouds
32,Marawi,PH,2022-02-12 14:43:25,7.9986,124.2928,67.64,94,100,1.74,overcast clouds
33,Cape Town,ZA,2022-02-12 14:42:05,-33.9258,18.4232,77.88,65,0,14.97,clear sky
34,Olinda,BR,2022-02-12 14:43:26,-8.0089,-34.8553,87.53,62,40,10.36,scattered clouds
35,Loudeac,FR,2022-02-12 14:43:26,48.1783,-2.7543,47.48,60,100,11.81,overcast clouds
36,Carnarvon,AU,2022-02-12 14:43:26,-24.8667,113.6333,82.47,65,8,17.27,clear sky
37,Fallon,US,2022-02-12 14:43:27,39.4735,-118.7774,24.67,86,0,5.75,clear sky
38,Thompson,CA,2022-02-12 14:42:15,55.7435,-97.8558,-23.64,76,40,2.3,scattered clouds
39,Jamestown,US,2022-02-12 14:41:36,42.097,-79.2353,30.29,55,100,18.41,mist
40,Kaoma,ZM,2022-02-12 14:43:27,-14.7833,24.8,74.91,78,98,3.89,light rain
41,Faanui,PF,2022-02-12 14:43:27,-16.4833,-151.75,79.74,76,71,13.49,light rain
42,Bauchi,NG,2022-02-12 14:43:28,10.5,10.0,90.99,9,67,6.11,broken clouds
43,Vila Franca Do Campo,PT,2022-02-12 14:43:28,37.7167,-25.4333,61.21,66,96,11.21,overcast clouds
44,Harwich,GB,2022-02-12 14:43:28,51.9419,1.2844,49.53,65,100,14.0,overcast clouds
45,Kondinskoye,RU,2022-02-12 14:43:29,59.6481,67.41,7.0,89,100,10.71,overcast clouds
46,Pitimbu,BR,2022-02-12 14:39:40,-7.4706,-34.8086,88.39,65,63,9.71,broken clouds
47,Makakilo City,US,2022-02-12 14:43:30,21.3469,-158.0858,71.92,85,20,4.61,few clouds
48,Gaoual,GN,2022-02-12 14:44:30,11.75,-13.2,100.94,6,0,4.97,clear sky
49,Guerrero Negro,MX,2022-02-12 14:44:30,27.9769,-114.0611,60.75,65,99,4.52,overcast clouds
50,Batagay,RU,2022-02-12 14:44:31,67.6333,134.6333,-31.77,98,87,3.15,overcast clouds
51,Saurimo,AO,2022-02-12 14:44:31,-9.6608,20.3916,79.88,61,99,2.1,light rain
52,Two Rivers,US,2022-02-12 14:44:31,44.1539,-87.5693,8.02,68,0,19.57,clear sky
53,Platteville,US,2022-02-12 14:44:31,42.7342,-90.4785,9.25,78,0,10.36,clear sky
54,Kati,ML,2022-02-12 14:44:32,12.7441,-8.0726,90.81,7,0,7.18,clear sky
55,Berlevag,NO,2022-02-12 14:44:32,70.8578,29.0864,25.11,78,93,16.06,light snow
56,Port Hardy,CA,2022-02-12 14:44:32,50.6996,-127.4199,38.75,100,100,3.44,fog
57,Dikson,RU,2022-02-12 14:44:33,73.5069,80.5464,0.73,76,100,27.47,overcast clouds
58,Cardoso,BR,2022-02-12 14:44:33,-20.0819,-49.9142,81.52,69,52,5.68,broken clouds
59,Santa Isabel Do Rio Negro,BR,2022-02-12 14:44:33,-0.4139,-65.0192,86.25,63,100,4.83,overcast clouds
60,Busselton,AU,2022-02-12 14:44:33,-33.65,115.3333,60.08,67,0,15.1,clear sky
61,Bethel,US,2022-02-12 14:44:34,41.3712,-73.414,54.34,56,0,8.05,clear sky
62,Port Lavaca,US,2022-02-12 14:44:34,28.615,-96.6261,56.98,94,100,9.22,fog
63,Portland,US,2022-02-12 14:43:52,45.5234,-122.6762,46.81,69,0,8.05,clear sky
64,Chokurdakh,RU,2022-02-12 14:44:34,70.6333,147.9167,-2.18,96,100,13.6,overcast clouds
65,Chuy,UY,2022-02-12 14:44:35,-33.6971,-53.4616,75.52,76,100,4.34,moderate rain
66,Cabo San Lucas,MX,2022-02-12 14:41:12,22.8909,-109.9124,65.52,49,43,9.57,scattered clouds
67,Hobart,AU,2022-02-12 14:43:40,-42.8794,147.3294,57.06,70,90,8.05,overcast clouds
68,Kapaa,US,2022-02-12 14:44:35,22.0752,-159.319,67.98,97,75,4.61,broken clouds
69,Hithadhoo,MV,2022-02-12 14:44:36,-0.6,73.0833,81.93,66,76,8.75,broken clouds
70,Bodden Town,KY,2022-02-12 14:44:36,19.2833,-81.25,82.0,79,75,7.0,broken clouds
71,Tsumeb,NA,2022-02-12 14:44:36,-19.2333,17.7167,74.59,63,99,7.49,light rain
72,Alexandria,EG,2022-02-12 14:44:36,31.2156,29.9553,64.36,59,40,10.36,scattered clouds
73,Kahului,US,2022-02-12 14:44:37,20.8947,-156.47,71.83,84,0,4.0,clear sky
74,Magadi,IN,2022-02-12 14:44:37,12.9667,77.2333,75.36,45,65,9.01,broken clouds
75,Victoria,HK,2022-02-12 14:44:37,22.2855,114.1577,66.96,84,76,5.01,broken clouds
76,Shetpe,KZ,2022-02-12 14:44:38,44.1667,52.1167,41.67,70,98,9.66,overcast clouds
77,East London,ZA,2022-02-12 14:44:38,-33.0153,27.9116,81.54,83,75,16.11,broken clouds
78,Kavieng,PG,2022-02-12 14:44:38,-2.5744,150.7967,80.78,77,100,3.06,light rain
79,Mar Del Plata,AR,2022-02-12 14:44:39,-38.0023,-57.5575,64.42,62,20,20.71,few clouds
80,Burnie,AU,2022-02-12 14:44:39,-41.0667,145.9167,60.49,74,65,13.82,broken clouds
81,Santa Maria Del Oro,MX,2022-02-12 14:44:39,25.9333,-105.3667,50.29,24,0,4.54,clear sky
82,Saint-Pierre,RE,2022-02-12 14:44:39,-21.3393,55.4781,82.04,78,75,11.5,broken clouds
83,Carlisle,US,2022-02-12 14:44:40,40.2015,-77.1889,51.22,57,100,5.01,overcast clouds
84,Vitim,RU,2022-02-12 14:44:40,59.4511,112.5578,-22.92,100,23,1.12,few clouds
85,Butaritari,KI,2022-02-12 14:44:40,3.0707,172.7902,81.72,79,43,16.35,light rain
86,Viseu,PT,2022-02-12 14:44:41,40.661,-7.9097,57.88,68,100,4.74,overcast clouds
87,Malanje,AO,2022-02-12 14:44:41,-9.5402,16.341,79.5,55,50,3.8,scattered clouds
88,Lompoc,US,2022-02-12 14:41:05,34.6391,-120.4579,64.56,61,0,11.5,clear sky
89,Alice Springs,AU,2022-02-12 14:42:59,-23.7,133.8833,65.75,63,0,0.0,clear sky
90,Kyra,RU,2022-02-12 14:44:41,49.5776,111.9753,-12.35,99,100,3.67,overcast clouds
91,Gravdal,NO,2022-02-12 14:45:42,68.1214,13.5031,28.29,86,40,5.75,scattered clouds
92,Bilibino,RU,2022-02-12 14:45:42,68.0546,166.4372,-37.43,100,91,1.45,overcast clouds
93,Vangaindrano,MG,2022-02-12 14:45:43,-23.35,47.6,77.49,78,11,7.18,few clouds
94,Ucluelet,CA,2022-02-12 14:45:43,48.9329,-125.5528,32.95,61,4,4.03,clear sky
95,Porosozero,RU,2022-02-12 14:45:44,62.7191,32.727,21.51,95,100,6.87,snow
96,Flin Flon,CA,2022-02-12 14:45:45,54.7682,-101.865,-18.56,69,0,4.61,clear sky
97,Codajas,BR,2022-02-12 14:45:46,-3.8367,-62.0569,88.0,58,95,3.49,overcast clouds
98,Kaitangata,NZ,2022-02-12 14:45:46,-46.2817,169.8464,50.94,73,100,8.7,overcast clouds
99,Kununurra,AU,2022-02-12 14:45:47,-15.7667,128.7333,80.58,89,22,2.3,few clouds
100,Atuona,PF,2022-02-12 14:45:47,-9.8,-139.0333,76.89,79,10,12.88,light rain
101,Torbay,CA,2022-02-12 14:45:48,47.6666,-52.7314,39.58,70,75,11.5,broken clouds
102,Dhidhdhoo,MV,2022-02-12 14:45:48,6.8833,73.1,81.75,73,99,9.1,overcast clouds
103,Pimenta Bueno,BR,2022-02-12 14:45:49,-11.6725,-61.1936,83.43,72,100,4.0,overcast clouds
104,Barrow,US,2022-02-12 14:45:50,71.2906,-156.7887,-32.78,100,0,9.22,clear sky
105,Castro,BR,2022-02-12 14:45:51,-24.7911,-50.0119,76.06,49,0,4.47,clear sky
106,Hilo,US,2022-02-12 14:41:35,19.7297,-155.09,69.53,80,100,3.44,overcast clouds
107,Saskylakh,RU,2022-02-12 14:45:51,71.9167,114.0833,1.09,77,38,13.94,scattered clouds
108,Nabire,ID,2022-02-12 14:45:52,-3.3667,135.4833,76.06,91,98,2.08,overcast clouds
109,Leningradskiy,RU,2022-02-12 14:45:52,69.3833,178.4167,-21.82,98,97,3.91,overcast clouds
110,Majene,ID,2022-02-12 14:45:53,-3.5403,118.9707,76.06,92,100,6.93,light rain
111,Stillwater,US,2022-02-12 14:45:53,36.1156,-97.0584,27.61,48,0,11.5,clear sky
112,Dunedin,NZ,2022-02-12 14:45:54,-45.8742,170.5036,50.81,69,100,10.0,overcast clouds
113,Georgetown,MY,2022-02-12 14:45:32,5.4112,100.3354,83.89,83,20,3.44,few clouds
114,Umkomaas,ZA,2022-02-12 14:45:55,-30.2067,30.7978,86.59,73,16,14.74,few clouds
