City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-02-02 20:11:13,-21.2,-175.2,84.36,79,40,5.75
1,Carnarvon,AU,2022-02-02 20:11:14,-24.8667,113.6333,77.07,88,98,9.22
2,Rikitea,PF,2022-02-02 20:10:00,-23.1203,-134.9692,77.94,74,100,5.93
3,Pevek,RU,2022-02-02 20:09:38,69.7008,170.3133,-8.79,77,33,4.29
4,Cairns,AU,2022-02-02 20:09:41,-16.9167,145.7667,80.55,89,100,3.44
5,Coromandel,BR,2022-02-02 20:11:15,-18.4733,-47.2003,75.92,77,100,0.76
6,Taltal,CL,2022-02-02 20:11:15,-25.4,-70.4833,71.58,65,20,8.93
7,Tuktoyaktuk,CA,2022-02-02 20:11:15,69.4541,-133.0374,-18.53,97,100,9.4
8,Kaeo,NZ,2022-02-02 20:11:16,-35.1,173.7833,72.32,90,100,10.42
9,Busselton,AU,2022-02-02 20:11:16,-33.65,115.3333,66.04,49,100,15.1
10,Kruisfontein,ZA,2022-02-02 20:11:16,-34.0033,24.7314,70.88,91,100,8.21
11,Port Alfred,ZA,2022-02-02 20:11:17,-33.5906,26.891,74.3,95,100,10.09
12,Pisco,PE,2022-02-02 20:07:18,-13.7,-76.2167,75.25,64,0,14.97
13,Carbonia,IT,2022-02-02 20:11:17,39.1672,8.5222,53.01,77,72,14.12
14,Thompson,CA,2022-02-02 20:11:18,55.7435,-97.8558,-7.29,83,41,12.91
15,Am Timan,TD,2022-02-02 20:11:18,11.0297,20.2827,78.1,16,12,6.78
16,Sukhumi,GE,2022-02-02 20:11:18,43.0033,41.0153,50.29,66,86,2.28
17,Mayumba,GA,2022-02-02 20:11:19,-3.432,10.6554,77.68,90,100,6.33
18,Cubuk,TR,2022-02-02 20:11:19,40.2386,33.0322,42.55,70,75,11.5
19,Chokurdakh,RU,2022-02-02 20:07:30,70.6333,147.9167,-18.22,97,100,6.58
20,Mataura,NZ,2022-02-02 20:11:20,-46.1927,168.8643,57.47,98,100,4.47
21,Bambous Virieux,MU,2022-02-02 20:11:20,-20.3428,57.7575,79.21,95,100,34.87
22,Linqiong,CN,2022-02-02 20:11:21,30.4159,103.4609,37.31,81,36,0.85
23,Bluff,NZ,2022-02-02 20:06:49,-46.6,168.3333,57.79,72,100,15.08
24,Lugoba,TZ,2022-02-02 20:11:21,-6.45,38.3333,73.09,97,100,3.51
25,Aguimes,ES,2022-02-02 20:11:22,27.9054,-15.4461,68.67,49,20,16.11
26,Provideniya,RU,2022-02-02 20:11:22,64.3833,-173.3,3.74,67,1,22.95
27,Luena,AO,2022-02-02 20:11:22,-11.7833,19.9167,64.9,88,72,2.91
28,Atuona,PF,2022-02-02 20:11:23,-9.8,-139.0333,77.49,79,93,15.7
29,Castro,BR,2022-02-02 20:11:23,-24.7911,-50.0119,75.94,71,40,1.25
30,Yellowknife,CA,2022-02-02 20:11:24,62.456,-114.3525,-20.7,85,92,2.73
31,Avarua,CK,2022-02-02 20:11:24,-21.2078,-159.775,82.45,83,75,16.11
32,Cape Town,ZA,2022-02-02 20:11:24,-33.9258,18.4232,67.12,90,75,6.91
33,Cap-Aux-Meules,CA,2022-02-02 20:11:25,47.3821,-61.8597,28.26,82,78,24.56
34,Bethel,US,2022-02-02 20:09:37,41.3712,-73.414,46.49,73,100,5.75
35,Gizo,SB,2022-02-02 20:11:25,-8.103,156.8419,82.0,78,100,14.52
36,Mar Del Plata,AR,2022-02-02 20:11:26,-38.0023,-57.5575,86.02,50,0,11.99
37,Mehamn,NO,2022-02-02 20:11:26,71.0357,27.8492,23.18,82,100,7.63
38,Rafina,GR,2022-02-02 20:11:26,38.0181,24.006,48.6,77,75,3.44
39,East London,ZA,2022-02-02 20:08:15,-33.0153,27.9116,75.74,92,56,18.88
40,Georgetown,MY,2022-02-02 20:11:27,5.4112,100.3354,80.89,86,20,2.3
41,Clyde River,CA,2022-02-02 20:11:28,70.4692,-68.5914,-19.97,76,100,8.05
42,Hobyo,SO,2022-02-02 20:07:31,5.3505,48.5268,78.06,74,84,19.39
43,Kapaa,US,2022-02-02 20:12:28,22.0752,-159.319,78.78,71,20,4.61
44,Pilar,BR,2022-02-02 20:12:29,-9.5972,-35.9567,85.93,60,22,11.34
45,Ushuaia,AR,2022-02-02 20:11:31,-54.8,-68.3,47.86,57,75,17.27
46,Adrar,MR,2022-02-02 20:12:06,20.5022,-10.0711,73.62,18,96,10.67
47,Ostrovnoy,RU,2022-02-02 20:12:29,68.0531,39.5131,20.91,87,100,15.7
48,Jacareacanga,BR,2022-02-02 20:12:30,-6.2222,-57.7528,83.57,75,100,2.37
49,Muros,ES,2022-02-02 20:12:30,42.7762,-9.0603,55.9,77,100,4.38
50,Ribeira Grande,PT,2022-02-02 20:12:30,38.5167,-28.7,59.4,72,20,6.91
51,Chicama,PE,2022-02-02 20:12:31,-7.8447,-79.1469,68.54,53,5,14.25
52,Belmonte,BR,2022-02-02 20:12:31,-15.8631,-38.8828,82.9,73,100,8.39
53,Jamestown,US,2022-02-02 20:12:31,42.097,-79.2353,43.92,56,75,14.97
54,Taloqan,AF,2022-02-02 20:12:32,36.7361,69.5345,38.57,98,100,1.59
55,Hobart,AU,2022-02-02 20:12:32,-42.8794,147.3294,53.46,76,40,6.91
56,Windhoek,NA,2022-02-02 20:12:32,-22.5594,17.0832,70.11,45,1,1.01
57,Galveston,US,2022-02-02 20:12:33,29.3669,-94.9669,73.44,93,100,11.5
58,Punta Arenas,CL,2022-02-02 20:12:34,-53.15,-70.9167,51.82,87,75,10.36
59,Kongolo,CD,2022-02-02 20:12:34,-5.3833,27.0,69.48,95,100,2.24
60,Upernavik,GL,2022-02-02 20:09:38,72.7868,-56.1549,-4.67,68,100,5.55
61,Klaksvik,FO,2022-02-02 20:12:34,62.2266,-6.589,41.92,82,100,7.67
62,Port Hueneme,US,2022-02-02 20:12:35,34.1478,-119.1951,66.42,15,0,24.16
63,Bilma,NE,2022-02-02 20:12:35,18.6853,12.9164,63.75,16,0,7.47
64,Katsuura,JP,2022-02-02 20:12:36,35.1333,140.3,37.51,54,22,10.65
65,Beyneu,KZ,2022-02-02 20:12:36,45.3167,55.2,33.3,81,3,12.93
66,Nikolskoye,RU,2022-02-02 20:12:36,59.7035,30.7861,22.89,99,99,1.1
67,New Norfolk,AU,2022-02-02 20:12:37,-42.7826,147.0587,53.1,73,55,1.99
68,Torbay,CA,2022-02-02 20:12:37,47.6666,-52.7314,28.49,82,14,1.01
69,Abu Samrah,SY,2022-02-02 20:12:37,35.3029,37.1841,50.14,60,100,11.16
70,Qaanaaq,GL,2022-02-02 20:12:38,77.484,-69.3632,-16.51,73,100,6.76
71,Albany,US,2022-02-02 20:11:26,42.6001,-73.9662,45.73,72,89,3.0
72,Saskylakh,RU,2022-02-02 20:12:38,71.9167,114.0833,-29.81,100,28,2.8
73,Talnakh,RU,2022-02-02 20:12:39,69.4865,88.3972,-4.7,99,95,6.24
74,Karymskoye,RU,2022-02-02 20:12:39,51.6167,114.35,-21.59,99,32,3.04
75,Lorengau,PG,2022-02-02 20:12:39,-2.0226,147.2712,79.72,80,100,11.86
76,Pandan,PH,2022-02-02 20:12:40,14.0453,124.1694,76.66,88,100,14.9
77,Acari,PE,2022-02-02 20:12:40,-15.4311,-74.6158,81.07,57,24,11.79
78,Lamu,KE,2022-02-02 20:12:41,-2.2717,40.902,80.82,88,100,10.89
79,Buala,SB,2022-02-02 20:12:41,-8.145,159.5921,79.0,84,100,6.22
80,Dicabisagan,PH,2022-02-02 20:12:42,17.0818,122.4157,72.97,82,60,2.13
81,Cidreira,BR,2022-02-02 20:12:42,-30.1811,-50.2056,78.3,78,0,15.59
82,Mahebourg,MU,2022-02-02 20:12:08,-20.4081,57.7,79.25,94,100,35.08
83,Esperance,AU,2022-02-02 20:12:42,-33.8667,121.9,59.7,74,4,10.74
84,Honiara,SB,2022-02-02 20:12:43,-9.4333,159.95,78.42,88,100,5.14
85,Gat,IL,2022-02-02 20:11:52,31.61,34.7642,61.39,59,99,6.06
86,Wynyard,AU,2022-02-02 20:13:43,-41.0,145.7167,53.96,76,14,8.5
87,Luderitz,NA,2022-02-02 20:13:44,-26.6481,15.1594,67.73,80,61,0.83
88,Khatanga,RU,2022-02-02 20:13:44,71.9667,102.5,-37.91,99,52,1.66
89,Mongoumba,CF,2022-02-02 20:13:44,3.6415,18.5936,77.58,26,66,1.63
90,Kaitangata,NZ,2022-02-02 20:13:45,-46.2817,169.8464,55.85,95,100,6.78
91,Mount Isa,AU,2022-02-02 20:13:45,-20.7333,139.5,80.37,78,100,1.14
92,Mosquera,CO,2022-02-02 20:10:00,4.7059,-74.2302,66.29,52,40,10.36
93,Sorland,NO,2022-02-02 20:13:46,67.667,12.6934,28.26,55,100,19.84
94,Severo-Kurilsk,RU,2022-02-02 20:13:46,50.6789,156.125,26.29,83,95,6.87
95,Hellin,ES,2022-02-02 20:13:46,38.5106,-1.701,56.55,44,0,4.18
96,Lebu,CL,2022-02-02 20:13:47,-37.6167,-73.65,64.87,77,34,10.67
97,Muisne,EC,2022-02-02 20:13:47,0.6,-80.0333,78.91,79,43,8.77
98,Pedro Ii,BR,2022-02-02 20:13:47,-4.4247,-41.4586,81.59,47,95,5.93
99,Puerto Escondido,MX,2022-02-02 20:13:48,15.85,-97.0667,85.03,61,0,6.91
100,Gwadar,PK,2022-02-02 20:13:48,25.1216,62.3254,69.73,36,0,15.14
101,Smithers,CA,2022-02-02 20:11:10,54.7804,-127.1743,15.22,90,100,1.36
102,Westport,US,2022-02-02 20:13:48,41.1415,-73.3579,46.78,88,100,3.0
103,Fare,PF,2022-02-02 20:13:49,-16.7,-151.0167,80.82,70,17,16.71
104,Mikkeli,FI,2022-02-02 20:13:49,61.6886,27.2723,-3.89,84,0,3.44
105,Diffa,NE,2022-02-02 20:13:17,13.3154,12.6113,66.2,16,74,7.7
106,Port Lincoln,AU,2022-02-02 20:13:50,-34.7333,135.8667,61.47,76,31,12.73
107,Marsa Matruh,EG,2022-02-02 20:13:50,31.3525,27.2453,57.6,43,100,10.18
108,Dingle,PH,2022-02-02 20:13:50,10.9995,122.6711,73.83,94,100,8.66
109,Takestan,IR,2022-02-02 20:13:51,36.0696,49.6959,37.11,54,3,3.18
110,Anadyr,RU,2022-02-02 20:13:51,64.75,177.4833,7.92,57,0,18.68
111,Zlocieniec,PL,2022-02-02 20:13:51,53.5329,16.0113,30.69,96,94,6.35
112,Ilulissat,GL,2022-02-02 20:13:52,69.2167,-51.1,1.42,60,20,29.93
113,Guerrero Negro,MX,2022-02-02 20:13:52,27.9769,-114.0611,63.64,53,4,15.1
114,Semporna,MY,2022-02-02 20:13:52,4.4818,118.6112,76.75,90,100,8.52
115,Matagami,CA,2022-02-02 20:13:53,49.7502,-77.6328,7.2,82,100,8.88
116,Marrakesh,MA,2022-02-02 20:10:21,31.6315,-8.0083,69.87,24,91,5.75
